phenotype_1_name	phenotype_2_name	phenotype_1_peak_lod	phenotype_1_chr	phenotype_1_peak_mbps	phenotype_2_peak_lod	phenotype_2_chr	phenotype2_peak_mbps
K00382	cecalLipid_RT_8.771_MZ_611.53583_plus	6.841849	2	75.449671	7.764626	2	77.961431
K06077	cecalLipid_RT_9.183_MZ_625.55115_plus	6.228367	2	85.202802	7.481812	2	75.445866
K00332	cecalLipid_RT_9.183_MZ_625.55115_plus	6.669459	7	125.288204	4.13531	7	134.69129
K03568	cecalLipid_RT_15.068_MZ_838.75189_minus	10.177879	8	4.316586	5.141672	8	6.588675
K00375	cecalLipid_RT_15.068_MZ_838.75189_minus	6.953606	8	3.075238	5.141672	8	6.588675
K01599	cecalLipid_RT_1.092_MZ_503.3707_plus	8.479889	8	6.935849	5.214562	8	92.742994
K00008	cecalLipid_RT_15.363_MZ_852.76874_minus	6.955605	8	6.935849	4.721925	8	6.588675
K00008	cecalLipid_RT_15.068_MZ_838.75189_minus	6.829387	8	6.935849	5.141672	8	6.588675
K00375	cecalLipid_RT_15.363_MZ_852.76874_minus	6.998131	8	3.075238	4.721925	8	6.588675
K02027	cecalLipid_RT_15.068_MZ_838.75189_minus	7.502227	8	3.075238	5.141672	8	6.588675
cecalLipid_RT_15.216_MZ_1274.98291_plus	K12582	8.367704	9	71.94392	5.936659	9	73.807697
cecalLipid_RT_14.964_MZ_1260.96887_plus	K12582	8.522496	9	71.94392	6.225543	9	73.807697
cecalLipid_RT_15.216_MZ_1274.98291_plus	K03694	8.367704	9	71.94392	6.212159	9	73.928822
cecalLipid_RT_15.227_MZ_1255.94189_minus	K12582	7.522271	9	71.94392	5.831081	9	73.807697
cecalLipid_RT_14.963_MZ_1241.92761_minus	K12582	7.530096	9	71.94392	5.913098	9	73.807697
cecalLipid_RT_15.227_MZ_1255.94189_minus	K03694	7.522271	9	71.94392	6.12136	9	73.928822
cecalLipid_RT_14.963_MZ_1241.92761_minus	K03694	7.530096	9	71.94392	6.300822	9	73.928822
cecalLipid_RT_14.964_MZ_1260.96887_plus	K03694	8.522496	9	71.94392	6.135433	9	73.928822
